user	build	chip	chip_version	inferred_sex	source
2011	37	HTS iSelect HD	v4	Female	23andMe
1653	37	HTS iSelect HD	v4	Female	23andMe
1815	37	OmniExpress plus	v3	Male	23andMe
168	37	OmniExpress plus	v3	Male	23andMe
154	37	OmniExpress plus	v3	Male	23andMe
1958	37	OmniExpress plus	v3	Male	23andMe
1968	37	OmniExpress plus	v3	Female	23andMe, 23andMe
1784	37	HTS iSelect HD	v4	Male	23andMe
1537	37	HTS iSelect HD	v4	Male	23andMe
180	37			Male	23andMe
1790	37	OmniExpress plus	v3	Male	23andMe
1697	37	OmniExpress plus	v3	Female	23andMe
1776	37	OmniExpress plus	v3	Male	23andMe
16	37	HTS iSelect HD	v4	Male	23andMe
1825	37	OmniExpress plus	v3	Male	23andMe
1522	37	HTS iSelect HD	v4	Male	23andMe
2004	37	HTS iSelect HD	v4	Female	23andMe
1631	37	HTS iSelect HD	v4	Male	23andMe
1685	37	HTS iSelect HD	v4	Female	23andMe
1879	37	HTS iSelect HD	v4	Male	23andMe
1706	37	HTS iSelect HD	v4	Female	23andMe
1985	37	OmniExpress plus	v3	Male	23andMe
1595	37	OmniExpress	v1	Male	AncestryDNA
1702	37	HTS iSelect HD	v4	Male	23andMe
1848	37	OmniExpress plus	v3	Male	23andMe
1991	37	HTS iSelect HD	v4	Female	23andMe
2001	37	HTS iSelect HD	v4	Male	23andMe
1810	37	HTS iSelect HD	v4	Male	23andMe
177	37	OmniExpress plus	v3	Male	23andMe
2018	37	OmniExpress plus	v3	Male	23andMe
1600	37	HTS iSelect HD	v4	Male	23andMe
1691	37	OmniExpress	v1	Male	AncestryDNA
1686	37	HTS iSelect HD	v4	Male	23andMe
1763	37	HTS iSelect HD	v4	Male	23andMe
1735	37	OmniExpress			FTDNA
1737	37	OmniExpress	v1	Female	AncestryDNA
1887	37	HTS iSelect HD	v4	Male	23andMe
2013	37	HTS iSelect HD	v4	Male	23andMe
1745	37	OmniExpress plus	v3	Male	23andMe
1717	37	HTS iSelect HD	v4	Male	23andMe
1833	37	HTS iSelect HD	v4	Female	23andMe
187	37			Male	23andMe
199	37	OmniExpress plus	v3	Male	23andMe
1573	37	HTS iSelect HD	v4	Male	23andMe
1532	37	OmniExpress		Female	23andMe, AncestryDNA
1963	37	OmniExpress plus	v3	Male	23andMe
1892	37	OmniExpress plus	v3	Female	23andMe
1669	37	HTS iSelect HD	v4	Female	23andMe, 23andMe
1695	37	HTS iSelect HD	v4	Female	23andMe
1519	37	OmniExpress	v1	Female	AncestryDNA
1723	37	HTS iSelect HD	v4	Male	23andMe
17	37			Female	23andMe
1521	37	HTS iSelect HD	v4	Male	23andMe
user	build	chip	chip_version	inferred_sex	source
2056	37	HTS iSelect HD	v4	Male	23andMe
2362	37	HTS iSelect HD	v4	Male	23andMe
2106	37	OmniExpress plus	v3	Male	23andMe
207	37	OmniExpress plus	v3	Male	23andMe
2099	37	HTS iSelect HD	v4	Female	23andMe
2456	37	OmniExpress plus	v3	Male	23andMe
2076	37	HTS iSelect HD	v4	Male	23andMe
2665	37	OmniExpress	v1	Male	AncestryDNA
2385	37	OmniExpress plus	v3	Male	23andMe
2055	37			Female	23andMe
252	37			Male	23andMe
2393	37	OmniExpress	v1	Male	AncestryDNA, AncestryDNA
2645	37	HTS iSelect HD	v4	Male	23andMe
2516	37	OmniExpress plus	v3	Female	23andMe
2455	37	HTS iSelect HD	v4	Female	23andMe
